"","snakeid","str_ID","used","trail_crossing_bin","road_bin","powerlines_poly_bin","road_residence_count"
"1","20",1,1,0,0,0,0
"2","20",1,0,0,0,0,0
"3","20",1,0,0,0,0,0
"4","20",1,0,0,0,0,0
"5","20",1,0,0,0,0,0
"6","20",1,0,0,0,0,0
"7","20",1,0,0,0,0,0
"8","20",1,0,0,0,0,0
"9","20",1,0,0,0,0,0
"10","20",1,0,0,0,0,0
"11","20",1,0,0,0,0,0
"12","20",2,1,0,0,0,0
"13","20",2,0,0,0,0,0
"14","20",2,0,0,0,0,0
"15","20",2,0,0,0,0,0
"16","20",2,0,0,0,0,0
"17","20",2,0,0,0,0,0
"18","20",2,0,0,0,0,0
"19","20",2,0,0,0,0,0
"20","20",2,0,0,0,0,0
"21","20",2,0,0,0,0,0
"22","20",2,0,0,0,0,0
"23","20",3,1,0,0,0,0
"24","20",3,0,0,0,0,0
"25","20",3,0,0,0,0,0
"26","20",3,0,0,0,0,0
"27","20",3,0,0,0,0,0
"28","20",3,0,0,0,0,0
"29","20",3,0,0,0,0,0
"30","20",3,0,0,0,0,0
"31","20",3,0,0,0,0,0
"32","20",3,0,0,0,0,0
"33","20",3,0,0,0,0,0
"34","20",4,1,0,0,0,0
"35","20",4,0,0,0,0,0
"36","20",4,0,0,0,0,0
"37","20",4,0,0,0,0,0
"38","20",4,0,0,0,0,0
"39","20",4,0,0,0,0,0
"40","20",4,0,0,0,0,0
"41","20",4,0,0,0,0,0
"42","20",4,0,0,0,0,0
"43","20",4,0,0,0,0,0
"44","20",4,0,0,0,0,0
"45","20",5,1,0,0,0,0
"46","20",5,0,0,0,0,0
"47","20",5,0,0,0,0,0
"48","20",5,0,0,0,0,0
"49","20",5,0,1,0,0,0
"50","20",5,0,0,0,0,0
"51","20",5,0,0,0,0,0
"52","20",5,0,0,0,0,0
"53","20",5,0,0,0,0,0
"54","20",5,0,1,0,0,0
"55","20",5,0,0,0,0,0
"56","20",6,1,0,0,0,0
"57","20",6,0,0,0,0,0
"58","20",6,0,0,0,0,0
"59","20",6,0,0,0,0,0
"60","20",6,0,0,0,0,0
"61","20",6,0,0,0,0,0
"62","20",6,0,0,0,0,0
"63","20",6,0,0,0,0,0
"64","20",6,0,0,0,0,0
"65","20",6,0,0,0,0,0
"66","20",6,0,0,0,0,0
"67","20",7,1,1,0,0,0
"68","20",7,0,0,0,0,0
"69","20",7,0,0,0,0,0
"70","20",7,0,0,0,0,0
"71","20",7,0,0,0,0,0
"72","20",7,0,0,0,0,0
"73","20",7,0,0,0,0,0
"74","20",7,0,0,0,0,0
"75","20",7,0,0,0,0,0
"76","20",7,0,0,0,0,0
"77","20",7,0,1,0,0,0
"78","20",8,1,0,0,0,0
"79","20",8,0,0,0,0,0
"80","20",8,0,0,0,0,0
"81","20",8,0,0,0,0,0
"82","20",8,0,0,0,0,0
"83","20",8,0,0,0,0,0
"84","20",8,0,0,0,0,0
