"","id","year","rep","trail_crossing_count","road_count","powerlines_poly_count","road_residence","locations","true"
"2001","03",2018,1,2,0,0,0,25,0
"2002","03",2018,2,0,6,0,6,25,0
"2003","03",2018,3,3,0,0,0,25,0
"2004","03",2018,4,0,1,0,1,25,0
"2005","03",2018,5,0,2,0,1,25,0
"2006","03",2018,6,4,0,0,5,25,0
"2007","03",2018,7,0,0,0,0,25,0
"2008","03",2018,8,0,8,0,5,25,0
"2009","03",2018,9,2,0,0,0,25,0
"2010","03",2018,10,0,3,0,0,25,0
"2011","03",2018,11,0,0,0,0,25,0
"2012","03",2018,12,5,0,0,0,25,0
"2013","03",2018,13,1,1,0,1,25,0
"2014","03",2018,14,0,0,0,0,25,0
"2015","03",2018,15,0,1,0,10,25,0
"2016","03",2018,16,3,1,0,2,25,0
"2017","03",2018,17,0,9,0,1,25,0
"2018","03",2018,18,1,0,0,0,25,0
"2019","03",2018,19,1,0,0,1,25,0
"2020","03",2018,20,0,0,0,0,25,0
"2021","03",2018,21,0,5,0,0,25,0
"2022","03",2018,22,1,0,0,0,25,0
"2023","03",2018,23,0,1,0,6,25,0
"2024","03",2018,24,0,1,0,0,25,0
"2025","03",2018,25,3,0,0,0,25,0
"2026","03",2018,26,1,1,0,0,25,0
"2027","03",2018,27,0,0,0,2,25,0
"2028","03",2018,28,0,2,0,0,25,0
"2029","03",2018,29,1,1,0,0,25,0
"2030","03",2018,30,1,2,0,1,25,0
"2031","03",2018,31,2,0,0,2,25,0
"2032","03",2018,32,1,8,0,1,25,0
"2033","03",2018,33,0,1,0,0,25,0
"2034","03",2018,34,1,0,0,0,25,0
"2035","03",2018,35,0,0,0,0,25,0
"2036","03",2018,36,0,9,10,0,25,0
"2037","03",2018,37,0,6,0,6,25,0
"2038","03",2018,38,0,1,0,0,25,0
"2039","03",2018,39,3,0,0,0,25,0
"2040","03",2018,40,1,1,0,5,25,0
"2041","03",2018,41,0,0,0,0,25,0
"2042","03",2018,42,1,0,2,5,25,0
"2043","03",2018,43,1,1,0,1,25,0
"2044","03",2018,44,0,3,0,0,25,0
"2045","03",2018,45,0,2,0,6,25,0
"2046","03",2018,46,0,5,1,1,25,0
"2047","03",2018,47,0,3,0,0,25,0
"2048","03",2018,48,1,0,0,0,25,0
"2049","03",2018,49,5,0,0,0,25,0
"2050","03",2018,50,2,1,0,0,25,0
"2051","03",2018,51,0,0,0,0,25,0
"2052","03",2018,52,1,0,0,0,25,0
"2053","03",2018,53,1,0,0,0,25,0
"2054","03",2018,54,0,2,0,11,25,0
"2055","03",2018,55,0,2,0,2,25,0
"2056","03",2018,56,0,0,0,0,25,0
"2057","03",2018,57,1,0,0,1,25,0
"2058","03",2018,58,2,0,0,0,25,0
"2059","03",2018,59,2,0,0,0,25,0
"2060","03",2018,60,0,0,0,0,25,0
"2061","03",2018,61,1,0,0,0,25,0
"2062","03",2018,62,0,0,0,0,25,0
"2063","03",2018,63,1,0,0,0,25,0
"2064","03",2018,64,0,9,0,1,25,0
"2065","03",2018,65,2,0,0,0,25,0
"2066","03",2018,66,2,0,0,0,25,0
"2067","03",2018,67,1,0,0,0,25,0
"2068","03",2018,68,1,0,0,0,25,0
"2069","03",2018,69,3,0,0,0,25,0
"2070","03",2018,70,0,9,0,13,25,0
"2071","03",2018,71,1,0,0,0,25,0
"2072","03",2018,72,0,5,0,2,25,0
"2073","03",2018,73,2,0,0,0,25,0
"2074","03",2018,74,3,0,0,0,25,0
"2075","03",2018,75,0,0,0,0,25,0
"2076","03",2018,76,2,0,0,0,25,0
"2077","03",2018,77,1,2,0,0,25,0
"2078","03",2018,78,2,0,0,11,25,0
"2079","03",2018,79,0,0,0,0,25,0
"2080","03",2018,80,2,0,0,7,25,0
"2081","03",2018,81,0,3,0,10,25,0
"2082","03",2018,82,0,0,0,0,25,0
"2083","03",2018,83,0,0,10,0,25,0
"2084","03",2018,84,2,0,0,0,25,0
"2085","03",2018,85,0,1,12,3,25,0
"2086","03",2018,86,0,0,0,0,25,0
"2087","03",2018,87,0,3,0,18,25,0
"2088","03",2018,88,1,0,0,0,25,0
"2089","03",2018,89,2,1,0,1,25,0
"2090","03",2018,90,5,1,0,10,25,0
"2091","03",2018,91,0,1,0,0,25,0
"2092","03",2018,92,0,0,0,0,25,0
"2093","03",2018,93,2,0,0,0,25,0
"2094","03",2018,94,1,0,0,1,25,0
"2095","03",2018,95,0,0,0,0,25,0
"2096","03",2018,96,0,0,0,0,25,0
"2097","03",2018,97,0,0,0,0,25,0
"2098","03",2018,98,4,0,0,0,25,0
"2099","03",2018,99,0,0,0,0,25,0
"2100","03",2018,100,0,6,10,0,25,0
"2101","03",2018,101,2,1,0,1,25,0
"2102","03",2018,102,0,1,0,5,25,0
"2103","03",2018,103,0,0,0,0,25,0
"2104","03",2018,104,0,1,0,0,25,0
"2105","03",2018,105,0,3,0,0,25,0
"2106","03",2018,106,1,0,0,0,25,0
"2107","03",2018,107,0,0,0,0,25,0
"2108","03",2018,108,0,0,0,0,25,0
"2109","03",2018,109,0,0,0,0,25,0
"2110","03",2018,110,2,0,0,0,25,0
"2111","03",2018,111,0,0,0,0,25,0
"2112","03",2018,112,1,0,0,11,25,0
"2113","03",2018,113,2,1,0,11,25,0
"2114","03",2018,114,0,4,0,10,25,0
